Id,Title,PriorityLevel,Classification,Status,IsApproved,SlaRiskLevel,Deadline,CreatedAt,UpdatedAt,AssignedDepartmentId,IsSLALocked,assigned_employee_count,has_multiple_assignments
ccd34424-519f-44dd-b3e1-2aa7cd80e9e0,Generate department overtime summary #130,1,0,5,,0,2026-06-28 16:25:26.312764+00,2026-06-24 16:25:26.312764+00,2026-06-25 16:25:26.312764+00,1d9b6bf9-3eba-4c95-b67a-f82cd8f4fe9e,f,1,0
f0c4da9c-9a63-4819-93db-d191a23c8c55,Prepare sustainability report for logistics #160,3,0,0,,1,2026-06-25 22:25:26.312764+00,2026-06-24 22:25:26.312764+00,2026-06-24 22:25:26.312764+00,a7946704-386c-4588-a647-02855ec4261e,t,1,0
dba5f6b3-ae35-4003-84e2-ac538c6524e7,Express delivery to Clark Freeport #30,1,0,1,,0,2026-07-04 04:12:39.767304+00,2026-06-25 04:12:39.767304+00,2026-07-24 04:12:39.767304+00,1d9b6bf9-3eba-4c95-b67a-f82cd8f4fe9e,f,2,1
0cfc9617-93d4-4c51-9a16-be21d801ea94,Audit fuel card usage reports #131,1,0,1,,0,2026-06-30 13:25:26.312764+00,2026-06-25 13:25:26.312764+00,2026-07-22 20:25:26.312764+00,1d9b6bf9-3eba-4c95-b67a-f82cd8f4fe9e,f,1,0
c9eaf8ac-4353-457f-8bf6-868498de6173,Prepare weekly dispatch summary report #31,2,0,1,,0,2026-07-06 03:12:39.767304+00,2026-06-26 03:12:39.767304+00,2026-07-24 03:12:39.767304+00,b6476aff-b9b7-4dbc-9013-9c24a102f7e1,f,1,0
6578a112-374d-4073-9848-38d1dd294ab3,Perform end-of-month inventory reconciliation #101,0,0,3,t,0,2026-06-29 07:25:26.312764+00,2026-06-26 07:25:26.312764+00,2026-06-28 07:25:26.312764+00,45453926-7111-4135-9b99-55848ff0a208,f,1,0
ea419b4d-6aae-423a-8389-db8cadf0826e,Process delivery order #2407-0 #1,0,0,3,t,0,2026-06-30 09:12:39.767304+00,2026-06-26 09:12:39.767304+00,2026-06-28 09:12:39.767304+00,45453926-7111-4135-9b99-55848ff0a208,f,1,0
b395845f-efc7-45d6-98fc-3851a94e9d24,Update employee shift schedules #32,2,0,1,,0,2026-07-08 02:12:39.767304+00,2026-06-27 02:12:39.767304+00,2026-07-24 02:12:39.767304+00,b6476aff-b9b7-4dbc-9013-9c24a102f7e1,f,1,0
9bdd0b96-edd3-4dd3-9bd6-171c47c62fc7,Coordinate with airline for air freight #102,0,1,3,t,0,2026-07-01 04:25:26.312764+00,2026-06-27 04:25:26.312764+00,2026-06-30 04:25:26.312764+00,45453926-7111-4135-9b99-55848ff0a208,f,1,0
4ce27a6d-2f0c-43dc-b786-0fd3b12f240b,Dispatch urgent parcel to Makati #2,0,0,3,t,0,2026-07-02 08:12:39.767304+00,2026-06-27 08:12:39.767304+00,2026-06-30 08:12:39.767304+00,45453926-7111-4135-9b99-55848ff0a208,f,1,0
